Name,Team,Position,Points,Assists,Minutes,Field Goals Made,Field Goals Attempted,Field Goal Percentage,Three Points Made,Three Points Attempted,Three Point Percentage,Two Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Turnovers,Steals,Blocks,Personal Fouls,Points per Match,Turnovers per Match,Free Throws Attempted per Match,Field Goals Attempted per Match,Assists per Match,Blocks per Match,Personal Fouls per Match,Rebounds per Match,Three Points Made per Match,Free Throws Made per Match,Field Goals Made per Match,Steals per Match,Three Points Attempted per Match,Games Played
"Ingles, Joe",Forward-Guard,25,10,59:14,9,15,0.6,6,12,0.5,1,1,1,1,6,3,2,1,4,8.333,1,0.333,5,3.333,0.333,1.333,2,2,0.333,3,0.667,4,3
"Rozier, Terry",Guard,746,226,1212:18,271,604,0.449,90,253,0.356,0.516,114,134,0.851,135,72,37,14,60,21.314,2.057,3.829,17.257,6.457,0.4,1.714,3.857,2.571,3.257,7.743,1.057,7.229,35
"Russell, D'Angelo",Guard,77,28,110:34,26,43,0.605,13,22,0.591,0.619,12,18,0.667,12,5,0,2,7,19.25,1.25,4.5,10.75,7,0.5,1.75,3,3.25,3,6.5,0,5.5,4
"Osman, Cedi",Forward,356,89,872:16,134,276,0.486,57,153,0.373,0.626,31,46,0.674,124,30,24,7,74,7.417,0.625,0.958,5.75,1.854,0.146,1.542,2.583,1.188,0.646,2.792,0.5,3.188,48
"Turner, Myles",Center-Forward,78,3,102:14,26,46,0.565,6,14,0.429,0.625,20,24,0.833,31,7,4,12,18,19.5,1.75,6,11.5,0.75,3,4.5,7.75,1.5,5,6.5,1,3.5,4
"Nance Jr., Larry",Forward-Center,178,41,551:05,68,120,0.567,18,39,0.462,0.617,24,30,0.8,159,23,30,13,38,5.742,0.742,0.968,3.871,1.323,0.419,1.226,5.129,0.581,0.774,2.194,0.968,1.258,31
"Richardson, Josh",Guard,380,96,983:55,137,310,0.442,59,167,0.353,0.545,47,50,0.94,105,35,22,14,66,10,0.921,1.316,8.158,2.526,0.368,1.737,2.763,1.553,1.237,3.605,0.579,4.395,38
"McConnell, T.J.",Guard,13,7,26:53,6,13,0.462,0,2,0,0.545,1,1,1,3,1,0,0,4,6.5,0.5,0.5,6.5,3.5,0,2,1.5,0,0.5,3,0,1,2
"Wright, Delon",Guard,118,74,405:40,42,109,0.385,12,33,0.364,0.395,22,27,0.815,52,10,31,6,20,4.538,0.385,1.038,4.192,2.846,0.231,0.769,2,0.462,0.846,1.615,1.192,1.269,26
"Connaughton, Pat",Guard,225,72,872:55,79,176,0.449,49,128,0.383,0.625,18,23,0.783,128,23,19,8,52,5.357,0.548,0.548,4.19,1.714,0.19,1.238,3.048,1.167,0.429,1.881,0.452,3.048,42
"Towns, Karl-Anthony",Forward,1069,146,1561:14,384,735,0.522,104,235,0.443,0.56,197,226,0.872,411,135,34,26,156,22.745,2.872,4.809,15.638,3.106,0.553,3.319,8.745,2.213,4.191,8.17,0.723,5,47
"Lyles, Trey",Forward,221,42,643:04,76,172,0.442,48,125,0.384,0.596,21,34,0.618,146,20,7,9,51,6.906,0.625,1.063,5.375,1.313,0.281,1.594,4.563,1.5,0.656,2.375,0.219,3.906,32
"O'Neale, Royce",Forward,25,13,92:26,8,19,0.421,8,18,0.444,0,1,2,0.5,12,2,0,1,11,8.333,0.667,0.667,6.333,4.333,0.333,3.667,4,2.667,0.333,2.667,0,6,3
"Oubre Jr., Kelly",Forward-Guard,8,1,26:23,3,9,0.333,0,3,0,0.5,2,3,0.667,8,0,2,0,3,8,0,3,9,1,0,3,8,0,2,3,2,3,1
"Booker, Devin",Guard,92,25,98:40,31,56,0.554,5,10,0.5,0.565,25,29,0.862,12,7,5,2,7,30.667,2.333,9.667,18.667,8.333,0.667,2.333,4,1.667,8.333,10.333,1.667,3.333,3
"Holmes, Richaun",Forward,78,13,231:53,33,59,0.559,0,0,,0.559,12,21,0.571,77,12,3,9,33,3.545,0.545,0.955,2.682,0.591,0.409,1.5,3.5,0,0.545,1.5,0.136,0,22
"Jones, Tyus",Guard,576,297,1345:03,241,487,0.495,71,176,0.403,0.547,23,31,0.742,136,41,55,15,35,12.255,0.872,0.66,10.362,6.319,0.319,0.745,2.894,1.511,0.489,5.128,1.17,3.745,47
"Powell, Norman",Guard,619,48,1168:49,217,439,0.494,95,211,0.45,0.535,90,106,0.849,121,41,25,17,83,13.457,0.891,2.304,9.543,1.043,0.37,1.804,2.63,2.065,1.957,4.717,0.543,4.587,46
"Looney, Kevon",Forward,232,101,857:45,97,159,0.61,0,1,0,0.614,38,54,0.704,298,33,22,15,105,5.273,0.75,1.227,3.614,2.295,0.341,2.386,6.773,0,0.864,2.205,0.5,0.023,44
"Portis, Bobby",Forward,591,47,1118:12,238,476,0.5,53,140,0.379,0.551,62,80,0.775,326,43,31,20,119,12.313,0.896,1.667,9.917,0.979,0.417,2.479,6.792,1.104,1.292,4.958,0.646,2.917,48
"Wood, Christian",Forward,33,4,86:07,14,29,0.483,2,9,0.222,0.6,3,3,1,37,6,0,3,8,8.25,1.5,0.75,7.25,1,0.75,2,9.25,0.5,0.75,3.5,0,2.25,4
