Name,Team,Position,Points,Assists,Minutes,Field Goals Made,Field Goals Attempted,Field Goal Percentage,Three Points Made,Three Points Attempted,Three Point Percentage,Two Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Turnovers,Steals,Blocks,Personal Fouls,Points per Match,Turnovers per Match,Free Throws Attempted per Match,Field Goals Attempted per Match,Assists per Match,Blocks per Match,Personal Fouls per Match,Rebounds per Match,Three Points Made per Match,Free Throws Made per Match,Field Goals Made per Match,Steals per Match,Three Points Attempted per Match,Games Played
"Tshiebwe, Oscar",Center,0,0,00:00,0,0,0.5,0,0,,0.5,0,0,0.833,0,0,0,0,0,3.5,0,1,2.667,0.333,0,0.167,2,0,0.833,1.333,0.333,0,0
"Laravia, Jake",Forward,0,0,00:00,0,0,0.372,0,0,0.208,0.579,0,0,0.75,0,0,0,0,0,3.636,0.364,0.364,3.909,0.545,0.091,1.727,1.455,0.455,0.273,1.455,0.091,2.182,0
"Mann, Tre",Guard,49,20,119:26,20,40,0.5,8,19,0.421,0.571,1,1,1,24,9,3,0,3,3.769,0.692,0.077,3.077,1.538,0,0.231,1.846,0.615,0.077,1.538,0.231,1.462,13
"Watford, Trendon",Forward,14,3,27:12,6,11,0.545,0,1,0,0.6,2,2,1,7,0,0,1,4,14,0,2,11,3,1,4,7,0,2,6,0,1,1
"Brown, Kobe",Forward,56,17,268:13,22,59,0.373,11,38,0.289,0.524,1,2,0.5,41,5,6,3,40,1.931,0.172,0.069,2.034,0.586,0.103,1.379,1.414,0.379,0.034,0.759,0.207,1.31,29
"Wade, Dean",Forward-Center,3,2,55:22,1,5,0.2,1,5,0.2,0.52,0,0,0.789,9,1,3,0,7,1,0.333,0,1.667,0.667,0,2.333,3,0.333,0,0.333,1,1.667,3
"Robinson-Earl, Jeremiah",Forward-Center,78,9,205:22,30,57,0.526,8,21,0.381,0.611,10,11,0.909,48,9,7,3,14,4.105,0.474,0.579,3,0.474,0.158,0.737,2.526,0.421,0.526,1.579,0.368,1.105,19
"Champagnie, Julian",Guard,241,41,654:13,77,191,0.403,55,140,0.393,0.431,32,38,0.842,90,29,25,21,43,5.878,0.707,0.927,4.659,1,0.512,1.049,2.195,1.341,0.78,1.878,0.61,3.415,41
"Reid, Naz",Center-Forward,593,52,1075:12,223,458,0.487,95,228,0.417,0.557,52,69,0.754,220,60,35,35,96,12.354,1.25,1.438,9.542,1.083,0.729,2,4.583,1.979,1.083,4.646,0.729,4.75,48
"Roddy, David",Forward,54,3,109:30,22,49,0.449,5,21,0.238,0.607,5,7,0.714,13,4,4,3,7,13.5,1,1.75,12.25,0.75,0.75,1.75,3.25,1.25,1.25,5.5,1,5.25,4
"Robinson, Orlando",Center,83,27,229:13,31,60,0.517,7,12,0.583,0.5,14,20,0.7,62,13,5,7,29,4.15,0.65,1,3,1.35,0.35,1.45,3.1,0.35,0.7,1.55,0.25,0.6,20
"Williams, Patrick",Forward,10,2,33:54,4,9,0.444,2,4,0.5,0.4,0,0,0.788,7,5,1,1,2,5,2.5,0,4.5,1,0.5,1,3.5,1,0,2,0.5,2,2
"Moore, Wendell",Forward,8,1,36:30,4,6,0.667,0,2,0,1,0,0,,5,2,4,1,4,0.667,0.167,0,0.5,0.083,0.083,0.333,0.417,0,0,0.333,0.333,0.167,12
"Hurt, Matthew",Forward-Center,10,1,23:27,3,6,0.5,2,3,0.667,0.333,2,2,1,2,0,0,0,1,10,0,2,6,1,0,1,2,2,2,3,0,3,1
"Sheppard, Ben",Guard,5,1,05:08,2,5,0.4,1,4,0.25,1,0,0,0.75,1,0,0,0,0,2.5,0,0,2.5,0.5,0,0,0.5,0.5,0,1,0,2,2
"Konchar, John",Guard,15,9,67:52,5,14,0.357,4,8,0.5,0.167,1,2,0.5,8,0,3,1,2,3.75,0,0.5,3.5,2.25,0.25,0.5,2,1,0.25,1.25,0.75,2,4
"Coffey, Amir",Guard-Forward,183,24,564:36,67,120,0.558,25,60,0.417,0.7,24,28,0.857,55,14,12,2,41,5.382,0.412,0.824,3.529,0.706,0.059,1.206,1.618,0.735,0.706,1.971,0.353,1.765,34
"Williams, Jalen",Guard-Forward,821,197,1404:33,321,596,0.539,63,140,0.45,0.566,116,144,0.806,177,76,47,22,118,18.659,1.727,3.273,13.545,4.477,0.5,2.682,4.023,1.432,2.636,7.295,1.068,3.182,44
"Mathews, Garrison",Guard,3,0,05:31,1,2,0.5,1,2,0.5,0.5,0,0,0.444,2,0,0,0,0,1.5,0,0,1,0,0,0,1,0.5,0,0.5,0,1,2
"Seabron, Dereon",Guard,14,4,52:26,4,13,0.308,1,2,0.5,0.273,5,6,0.833,7,0,2,1,4,2.8,0,1.2,2.6,0.8,0.2,0.8,1.4,0.2,1,0.8,0.4,0.4,5
"Quinones, Lester",Guard,27,5,68:32,10,25,0.4,6,15,0.4,0.4,1,2,0.5,12,5,1,1,8,2.7,0.5,0.2,2.5,0.5,0.1,0.8,1.2,0.6,0.1,1,0.1,1.5,10
"Wiseman, James",Center,17,1,24:36,8,9,0.889,0,0,0,0.889,1,2,0.5,10,0,0,0,3,5.667,0,0.667,3,0.333,0,1,3.333,0,0.333,2.667,0,0,3
"Achiuwa, Precious",Forward,10,5,39:24,4,8,0.5,0,3,0,0.8,2,4,0.5,15,4,3,0,4,5,2,2,4,2.5,0,2,7.5,0,1,2,1.5,1.5,2
"Sasser, Marcus",Guard,15,5,62:58,5,23,0.217,1,12,0.083,0.364,4,4,1,4,0,0,0,5,3.75,0,1,5.75,1.25,0,1.25,1,0.25,1,1.25,0,3,4
"Liddell, E.J.",Forward,4,1,23:05,1,6,0.167,0,5,0,1,2,2,1,5,2,2,2,2,0.5,0.25,0.25,0.75,0.125,0.25,0.25,0.625,0,0.25,0.125,0.25,0.625,8
"Pippen, Scotty",Guard,44,20,100:42,14,31,0.452,6,12,0.5,0.421,10,14,0.714,16,11,6,2,10,8.8,2.2,2.8,6.2,4,0.4,2,3.2,1.2,2,2.8,1.2,2.4,5
"Stewart, Isaiah",Forward-Center,41,5,108:48,16,38,0.421,4,14,0.286,0.5,5,5,1,23,4,3,5,7,10.25,1,1.25,9.5,1.25,1.25,1.75,5.75,1,1.25,4,0.75,3.5,4
"McDaniels, Jaden",Forward,416,51,1092:36,171,331,0.517,47,127,0.37,0.608,27,35,0.771,101,43,35,18,119,10.947,1.132,0.921,8.711,1.342,0.474,3.132,2.658,1.237,0.711,4.5,0.921,3.342,38
"Strus, Max",Guard-Forward,59,16,146:35,22,50,0.44,13,31,0.419,0.474,2,4,0.5,16,5,9,5,10,14.75,1.25,1,12.5,4,1.25,2.5,4,3.25,0.5,5.5,2.25,7.75,4
"Bouknight, James",Guard,45,6,72:58,16,37,0.432,12,27,0.444,0.4,1,2,0.5,9,1,0,1,3,3.75,0.083,0.167,3.083,0.5,0.083,0.25,0.75,1,0.083,1.333,0,2.25,12
"Anthony, Cole",Guard,36,19,93:44,10,32,0.313,5,17,0.294,0.333,11,11,1,19,8,1,0,7,12,2.667,3.667,10.667,6.333,0,2.333,6.333,1.667,3.667,3.333,0.333,5.667,3
"Jackson-Davis, Trayce",Forward-Center,224,32,466:17,95,139,0.683,0,0,,0.683,34,60,0.567,140,23,12,27,53,6.788,0.697,1.818,4.212,0.97,0.818,1.606,4.242,0,1.03,2.879,0.364,0,33
"Lundy, Seth",Guard-Forward,0,0,00:00,0,0,0.235,0,0,0.231,0.25,0,0,0.75,0,0,0,0,0,1.556,0.111,0.444,1.889,0,0,0.667,0.778,0.333,0.333,0.444,0,1.444,0
"Hampton, R.J.",Guard,10,8,76:02,4,14,0.286,1,8,0.125,0.5,1,2,0.5,6,3,0,0,8,1.25,0.375,0.25,1.75,1,0,1,0.75,0.125,0.125,0.5,0,1,8
"Ball, LaMelo",Guard,526,176,711:22,183,423,0.433,70,197,0.355,0.5,90,104,0.865,113,83,40,4,79,23.909,3.773,4.727,19.227,8,0.182,3.591,5.136,3.182,4.091,8.318,1.818,8.955,22
"Camara, Toumani",Forward,31,2,131:33,10,26,0.385,3,15,0.2,0.636,8,12,0.667,18,5,5,3,13,7.75,1.25,3,6.5,0.5,0.75,3.25,4.5,0.75,2,2.5,1.25,3.75,4
"Edwards, Anthony",Guard,1149,236,1570:57,396,853,0.464,111,285,0.389,0.502,246,292,0.842,233,153,53,22,86,25.533,3.4,6.489,18.956,5.244,0.489,1.911,5.178,2.467,5.467,8.8,1.178,6.333,45
"Aldama, Santi",Forward,51,4,73:57,20,38,0.526,7,19,0.368,0.684,4,7,0.571,12,3,0,2,3,17,1,2.333,12.667,1.333,0.667,1,4,2.333,1.333,6.667,0,6.333,3
"Jaquez, Jaime",Forward,563,111,1252:47,216,431,0.501,42,123,0.341,0.565,89,106,0.84,160,71,45,11,103,13.405,1.69,2.524,10.262,2.643,0.262,2.452,3.81,1,2.119,5.143,1.071,2.929,42
"Toppin, Jacob",Forward,0,1,03:54,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0,0.333,0.333,0,0,0,0,0,0,0,3
"Okongwu, Onyeka",Forward-Center,33,8,84:46,13,25,0.52,2,5,0.4,0.55,5,6,0.833,29,4,0,2,10,8.25,1,1.5,6.25,2,0.5,2.5,7.25,0.5,1.25,3.25,0,1.25,4
"Mobley, Isaiah",Forward,0,0,00:00,0,0,0.5,0,0,0.5,0.5,0,0,,0,0,0,0,0,1.667,0.333,0,1.333,1.333,0,0.667,0.667,0.333,0,0.667,0.333,0.667,0
"Juzang, Johnny",Forward,0,0,00:00,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0
"Okoro, Isaac",Forward-Guard,11,4,39:27,5,9,0.556,1,2,0.5,0.571,0,1,0,3,1,2,2,4,5.5,0.5,0.5,4.5,2,1,2,1.5,0.5,0,2.5,1,1,2
"Duarte, Chris",Guard,129,32,461:02,45,125,0.36,21,67,0.313,0.414,18,24,0.75,64,20,18,2,61,3.686,0.571,0.686,3.571,0.914,0.057,1.743,1.829,0.6,0.514,1.286,0.514,1.914,35
"Sengun, Alperen",Center,1019,239,1536:40,405,749,0.541,26,93,0.28,0.578,183,254,0.72,434,124,56,34,153,21.681,2.638,5.404,15.936,5.085,0.723,3.255,9.234,0.553,3.894,8.617,1.191,1.979,47
"Maxey, Tyrese",Guard,105,30,164:36,34,83,0.41,10,30,0.333,0.453,27,29,0.931,18,7,6,2,8,26.25,1.75,7.25,20.75,7.5,0.5,2,4.5,2.5,6.75,8.5,1.5,7.5,4
"Toscano-Anderson, Juan",Forward,7,4,52:38,3,12,0.25,1,4,0.25,0.25,0,0,,14,2,1,1,11,0.636,0.182,0,1.091,0.364,0.091,1,1.273,0.091,0,0.273,0.091,0.364,11
"Brissett, Oshae",Forward-Guard,2,0,07:46,0,3,0,0,2,0,0,2,4,0.5,3,0,1,0,2,2,0,4,3,0,0,2,3,0,2,0,1,2,1
"Brooks, Armoni",Guard,0,0,19:16,0,5,0,0,3,0,0,0,0,0.5,4,1,0,0,0,0,1,0,5,0,0,0,4,0,0,0,0,3,1
"Wembanyama, Victor",Forward-Center,864,129,1201:14,318,684,0.465,63,209,0.301,0.537,165,204,0.809,423,141,47,133,97,20.571,3.357,4.857,16.286,3.071,3.167,2.31,10.071,1.5,3.929,7.571,1.119,4.976,42
"Nnaji, Zeke",Forward-Center,114,20,347:25,42,92,0.457,5,16,0.313,0.487,25,39,0.641,79,24,9,20,56,3.081,0.649,1.054,2.486,0.541,0.541,1.514,2.135,0.135,0.676,1.135,0.243,0.432,37
"Green, Josh",Guard,286,88,939:31,110,234,0.47,46,117,0.393,0.547,20,36,0.556,106,39,24,5,73,8.171,1.114,1.029,6.686,2.514,0.143,2.086,3.029,1.314,0.571,3.143,0.686,3.343,35
"Koloko, Christian",Center,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Bolden, Marques",Center,0,0,02:57,0,0,,0,0,,,0,0,,2,0,0,0,1,0,0,0,0,0,0,0.5,1,0,0,0,0,0,2
"Evbuomwan, Tosan",Forward,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Skapintsev, Dmytro",Center,0,0,02:08,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,2
"Badji, Ibou",Center,21,8,162:58,9,15,0.6,0,0,,0.6,3,6,0.5,44,9,2,17,32,1.75,0.75,0.5,1.25,0.667,1.417,2.667,3.667,0,0.25,0.75,0.167,0,12
"Porter, Jontay",Center-Forward,66,29,200:01,22,61,0.361,11,33,0.333,0.393,11,12,0.917,49,9,11,11,25,4.714,0.643,0.857,4.357,2.071,0.786,1.786,3.5,0.786,0.786,1.571,0.786,2.357,14
Greg Brown,Forward,15,4,39:44,5,11,0.455,1,3,0.333,0.5,4,9,0.444,9,4,0,4,5,2.5,0.667,1.5,1.833,0.667,0.667,0.833,1.5,0.167,0.667,0.833,0,0.5,6
"Cunningham, Cade",Guard,81,32,144:55,31,79,0.392,6,19,0.316,0.417,13,13,1,15,18,3,0,12,20.25,4.5,3.25,19.75,8,0,3,3.75,1.5,3.25,7.75,0.75,4.75,4
"Jones, Colby",Guard,35,9,110:22,16,42,0.381,1,13,0.077,0.517,2,3,0.667,21,5,4,1,15,2.333,0.333,0.2,2.8,0.6,0.067,1,1.4,0.067,0.133,1.067,0.267,0.867,15
"Lewis, Justin",Forward,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Ivey, Jaden",Guard,47,11,81:53,17,29,0.586,3,10,0.3,0.737,10,15,0.667,9,10,3,1,7,15.667,3.333,5,9.667,3.667,0.333,2.333,3,1,3.333,5.667,1,3.333,3
"Davis, Jonathan",Guard,49,6,163:06,22,51,0.431,1,4,0.25,0.447,4,7,0.571,21,5,7,2,13,2.333,0.238,0.333,2.429,0.286,0.095,0.619,1,0.048,0.19,1.048,0.333,0.19,21
"Moody, Moses",Guard,297,28,611:07,107,222,0.482,38,106,0.358,0.595,45,57,0.789,105,24,23,10,47,8.735,0.706,1.676,6.529,0.824,0.294,1.382,3.088,1.118,1.324,3.147,0.676,3.118,34
"Williams, Jaylin",Forward,144,52,481:30,51,127,0.402,28,80,0.35,0.489,14,17,0.824,123,17,17,14,59,3.6,0.425,0.425,3.175,1.3,0.35,1.475,3.075,0.7,0.35,1.275,0.425,2,40
"Ellis, Keon",Guard,109,35,341:45,36,83,0.434,26,68,0.382,0.667,11,17,0.647,37,15,14,12,39,3.893,0.536,0.607,2.964,1.25,0.429,1.393,1.321,0.929,0.393,1.286,0.5,2.429,28
"Primo, Joshua",Guard,2,0,04:59,1,2,0.5,0,1,0,1,0,0,,0,3,0,1,0,2,3,0,2,0,1,0,0,0,0,1,0,1,1
"Barnes, Scottie",Forward,28,10,62:25,10,24,0.417,3,10,0.3,0.5,5,7,0.714,11,6,3,1,3,14,3,3.5,12,5,0.5,1.5,5.5,1.5,2.5,5,1.5,5,2
"Kessler, Walker",Center,0,0,00:00,0,0,0.66,0,0,0.25,0.689,0,0,0.515,0,0,0,0,0,8.381,1,1.571,5.667,0.762,2.714,2.095,7.405,0.095,0.81,3.738,0.452,0.381,0
"Sharpe, Day'Ron",Center,22,1,52:05,8,14,0.571,0,1,0,0.615,6,10,0.6,23,4,0,1,9,7.333,1.333,3.333,4.667,0.333,0.333,3,7.667,0,2,2.667,0,0.333,3
"Prosper, Olivier-Maxence",Forward,77,19,238:57,23,65,0.354,8,32,0.25,0.455,23,34,0.676,56,4,2,2,17,3.08,0.16,1.36,2.6,0.76,0.08,0.68,2.24,0.32,0.92,0.92,0.08,1.28,25
"Williams, Mark",Center,242,22,508:22,98,151,0.649,0,0,,0.649,46,64,0.719,184,17,16,20,50,12.737,0.895,3.368,7.947,1.158,1.053,2.632,9.684,0,2.421,5.158,0.842,0,19
"Johnson, Jalen",Forward,51,9,105:06,19,33,0.576,2,6,0.333,0.63,11,11,1,22,3,4,5,6,17,1,3.667,11,3,1.667,2,7.333,0.667,3.667,6.333,1.333,2,3
"Christopher, Josh",Guard,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Rollins, Ryan",Guard,41,11,65:53,13,25,0.52,2,3,0.667,0.5,13,17,0.765,11,7,8,3,7,4.1,0.7,1.7,2.5,1.1,0.3,0.7,1.1,0.2,1.3,1.3,0.8,0.3,10
"Council, Ricky",Guard,0,0,00:00,0,0,0.462,0,0,0.5,0.455,0,0,0.75,0,0,0,0,0,3.143,0,1.714,1.857,0,0,0.143,0.429,0.143,1.286,0.857,0.286,0.286,0
"Mathurin, Bennedict",Guard,47,6,91:33,18,37,0.486,6,12,0.5,0.48,5,9,0.556,7,4,2,0,7,11.75,1,2.25,9.25,1.5,0,1.75,1.75,1.5,1.25,4.5,0.5,3,4
"Suggs, Jalen",Guard,28,6,52:44,10,23,0.435,4,11,0.364,0.5,4,4,1,5,5,4,1,5,14,2.5,2,11.5,3,0.5,2.5,2.5,2,2,5,2,5.5,2
"Strawther, Julian",Guard,195,36,457:52,71,185,0.384,37,115,0.322,0.486,16,23,0.696,49,15,16,6,47,5.909,0.455,0.697,5.606,1.091,0.182,1.424,1.485,1.121,0.485,2.152,0.485,3.485,33
"Mobley, Evan",Forward,67,14,143:26,29,46,0.63,1,3,0.333,0.651,8,10,0.8,51,10,4,12,14,16.75,2.5,2.5,11.5,3.5,3,3.5,12.75,0.25,2,7.25,1,0.75,4
"Clark, Jaylen",Guard,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Terry, Dalen",Guard,0,0,00:00,0,0,0.373,0,0,0.211,0.586,0,0,0.727,0,0,0,0,0,2.313,0.531,0.688,2.094,1.188,0.25,1.188,1.625,0.25,0.5,0.781,0.281,1.188,0
"Williams, Ziaire",Forward,23,4,54:24,9,25,0.36,3,9,0.333,0.375,2,2,1,7,3,2,2,10,7.667,1,0.667,8.333,1.333,0.667,3.333,2.333,1,0.667,3,0.667,3,3
"Walker, Jabari",Forward,27,1,63:01,10,21,0.476,2,7,0.286,0.571,5,7,0.714,20,1,2,2,7,6.75,0.25,1.75,5.25,0.25,0.5,1.75,5,0.5,1.25,2.5,0.5,1.75,4
"Eason, Tari",Forward,215,27,480:00,88,189,0.466,18,50,0.36,0.504,21,33,0.636,153,20,31,19,51,9.773,0.909,1.5,8.591,1.227,0.864,2.318,6.955,0.818,0.955,4,1.409,2.273,22
"Sanogo, Adama",Center,0,0,00:00,0,0,1,0,0,,1,0,0,0.667,0,0,0,0,0,2.667,0.333,1,1,0,0,0,2,0,0.667,1,0,0,0
"Jackson, Andre",Guard,108,37,449:06,43,78,0.551,14,36,0.389,0.69,8,9,0.889,86,19,11,4,76,2.769,0.487,0.231,2,0.949,0.103,1.949,2.205,0.359,0.205,1.103,0.282,0.923,39
"Johnson, Keon",Guard,0,0,00:00,0,0,0.375,0,0,0.5,0.25,0,0,1,0,0,0,0,0,12,1,4,8,1,1,1,1,2,4,3,1,4,0
"Jackson, Isaiah",Forward,17,4,48:04,5,13,0.385,0,1,0,0.417,7,10,0.7,20,3,0,8,13,5.667,1,3.333,4.333,1.333,2.667,4.333,6.667,0,2.333,1.667,0,0.333,3
"Thomas, Cam",Guard,17,4,30:55,6,18,0.333,3,9,0.333,0.333,2,2,1,5,0,0,1,1,17,0,2,18,4,1,1,5,3,2,6,0,9,1
"Hodge, D'Moi",Guard,0,0,00:00,0,0,0.333,0,0,0.25,0.667,0,0,0.5,0,0,0,0,0,2,0.143,0.286,2.143,0.714,0.143,0.571,0,0.429,0.143,0.714,0.143,1.714,0
"Lofton, Kenneth",Forward-Center,2,0,18:19,1,5,0.2,0,2,0,0.333,0,0,0.533,2,1,0,1,4,0.667,0.333,0,1.667,0,0.333,1.333,0.667,0,0,0.333,0,0.667,3
"Murray, Keegan",Forward,678,68,1387:02,257,548,0.469,103,277,0.372,0.568,61,77,0.792,231,37,49,27,111,16.143,0.881,1.833,13.048,1.619,0.643,2.643,5.5,2.452,1.452,6.119,1.167,6.595,42
"Murray, Kris",Forward,3,0,09:42,1,4,0.25,1,3,0.333,0,0,0,0.667,1,0,1,0,1,1,0,0,1.333,0,0,0.333,0.333,0.333,0,0.333,0.333,1,3
"Thor, JT",Forward,122,15,531:51,48,134,0.358,19,59,0.322,0.387,7,13,0.538,100,11,8,17,39,3.211,0.289,0.342,3.526,0.395,0.447,1.026,2.632,0.5,0.184,1.263,0.211,1.553,38
"Jovic, Nikola",Forward,104,36,317:21,37,92,0.402,19,45,0.422,0.383,11,20,0.55,82,18,6,7,37,5.474,0.947,1.053,4.842,1.895,0.368,1.947,4.316,1,0.579,1.947,0.316,2.368,19
"Porter, Craig",Guard,26,14,46:08,11,20,0.55,0,0,0.333,0.55,4,4,1,6,3,1,1,0,8.667,1,1.333,6.667,4.667,0.333,0,2,0,1.333,3.667,0.333,0,3
"Martin, Kenyon",Forward,0,0,00:35,0,0,0.493,0,0,0.091,0.571,0,0,0.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Diakite, Mamadi",Forward,12,2,15:57,4,5,0.8,0,0,,0.8,4,6,0.667,3,0,0,1,1,4,0,2,1.667,0.667,0.333,0.333,1,0,1.333,1.333,0,0,3
"Marshall, Naji",Forward,292,76,724:29,101,222,0.455,33,87,0.379,0.504,57,73,0.781,138,39,26,7,58,7.487,1,1.872,5.692,1.949,0.179,1.487,3.538,0.846,1.462,2.59,0.667,2.231,39
"Harris, Kevon",Guard,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Joshua Giddey,Guard,541,215,1164:34,221,491,0.45,43,130,0.331,0.493,56,69,0.812,296,97,32,22,57,11.511,2.064,1.468,10.447,4.574,0.468,1.213,6.298,0.915,1.191,4.702,0.681,2.766,47
BJ Boston,Guard,53,5,98:42,20,49,0.408,6,17,0.353,0.438,7,8,0.875,14,3,2,2,13,4.417,0.25,0.667,4.083,0.417,0.167,1.083,1.167,0.5,0.583,1.667,0.167,1.417,12
"Hyland, Bones",Guard,118,33,251:18,44,120,0.367,20,64,0.313,0.429,10,12,0.833,17,23,10,1,27,6.211,1.211,0.632,6.316,1.737,0.053,1.421,0.895,1.053,0.526,2.316,0.526,3.368,19
"Springer, Jaden",Guard,10,2,34:00,4,9,0.444,0,2,0,0.571,2,2,1,4,4,1,2,6,3.333,1.333,0.667,3,0.667,0.667,2,1.333,0,0.667,1.333,0.333,0.667,3
"Green, Jalen",Guard,867,153,1450:13,294,710,0.414,102,314,0.325,0.485,177,217,0.816,228,101,33,15,63,18.447,2.149,4.617,15.106,3.255,0.319,1.34,4.851,2.17,3.766,6.255,0.702,6.681,47
"Kuminga, Jonathan",Forward,635,68,1043:04,240,451,0.532,36,111,0.324,0.6,119,167,0.713,195,64,29,16,95,14.767,1.488,3.884,10.488,1.581,0.372,2.209,4.535,0.837,2.767,5.581,0.674,2.581,43
"Murphy, Trey",Forward,298,42,594:43,100,234,0.427,59,166,0.355,0.603,39,50,0.78,90,13,15,7,29,12.957,0.565,2.174,10.174,1.826,0.304,1.261,3.913,2.565,1.696,4.348,0.652,7.217,23
"Nix, Daishen",Guard,8,0,21:12,3,8,0.375,2,5,0.4,0.333,0,2,0,1,0,1,0,0,1.333,0,0.333,1.333,0,0,0,0.167,0.333,0,0.5,0.167,0.833,6
"Podziemski, Brandin",Guard,351,123,946:16,140,303,0.462,48,126,0.381,0.52,23,38,0.605,206,49,32,5,71,9.237,1.289,1,7.974,3.237,0.132,1.868,5.421,1.263,0.605,3.684,0.842,3.316,38
"Butler, John",Forward,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Diabate, Moussa",Forward-Center,27,4,57:43,9,18,0.5,0,0,,0.5,9,12,0.75,20,2,4,0,4,2.7,0.2,1.2,1.8,0.4,0,0.4,2,0,0.9,0.9,0.4,0,10
"Houstan, Caleb",Forward,6,1,14:36,2,3,0.667,2,3,0.667,0.7,0,0,0.773,3,0,1,0,1,2,0,0,1,0.333,0,0.333,1,0.667,0,0.667,0.333,1,3
"Bufkin, Kobe",Guard,0,0,00:00,0,0,0.25,0,0,0.5,0,0,0,0.5,0,0,0,0,0,1.333,0,0.667,1.333,0.333,0,0,1,0.333,0.333,0.333,0,0.667,0
"Christie, Max",Guard,12,5,34:16,5,11,0.455,2,6,0.333,0.6,0,0,0.813,7,2,2,1,2,4,0.667,0,3.667,1.667,0.333,0.667,2.333,0.667,0,1.667,0.667,2,3
"Wesley, Blake",Guard,97,61,314:33,41,82,0.5,2,17,0.118,0.6,13,25,0.52,30,17,14,4,39,3.593,0.63,0.926,3.037,2.259,0.148,1.444,1.111,0.074,0.481,1.519,0.519,0.63,27
"Smith, Terquavion",Guard,0,0,00:00,0,0,0.231,0,0,0.3,0,0,0,1,0,0,0,0,0,2.2,0.4,0.4,2.6,1.2,0,0.2,0,0.6,0.4,0.6,0.8,2,0
"Banchero, Paolo",Forward,57,10,98:48,22,49,0.449,6,11,0.545,0.421,7,13,0.538,19,12,2,3,5,19,4,4.333,16.333,3.333,1,1.667,6.333,2,2.333,7.333,0.667,3.667,3
"Griffin, AJ",Guard,5,0,23:33,1,11,0.091,1,7,0.143,0,2,2,1,1,0,0,0,3,2.5,0,1,5.5,0,0,1.5,0.5,0.5,1,0.5,0,3.5,2
"Gueye, Mouhamed",Forward,0,0,00:00,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0.5,0
"McGowens, Bryce",Guard-Forward,185,34,591:52,64,145,0.441,25,69,0.362,0.513,32,43,0.744,63,20,9,3,50,5,0.541,1.162,3.919,0.919,0.081,1.351,1.703,0.676,0.865,1.73,0.243,1.865,37
"Watson, Peyton",Forward,321,49,835:51,121,260,0.465,31,98,0.316,0.556,48,69,0.696,128,28,26,42,80,6.83,0.596,1.468,5.532,1.043,0.894,1.702,2.723,0.66,1.021,2.574,0.553,2.085,47
"Hawkins, Jordan",Guard,445,60,931:31,146,362,0.403,92,237,0.388,0.432,61,72,0.847,125,35,15,4,60,10.349,0.814,1.674,8.419,1.395,0.093,1.395,2.907,2.14,1.419,3.395,0.349,5.512,43
"Minott, Josh",Forward,26,3,46:26,8,18,0.444,0,5,0,0.615,10,12,0.833,3,1,1,3,6,1.733,0.067,0.8,1.2,0.2,0.2,0.4,0.2,0,0.667,0.533,0.067,0.333,15
"Bates, Emoni",Forward,0,0,00:38,0,0,0.24,0,0,0.25,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Duren, Jalen",Center,17,7,51:40,7,15,0.467,0,1,0,0.5,3,4,0.75,17,5,1,2,6,8.5,2.5,2,7.5,3.5,1,3,8.5,0,1.5,3.5,0.5,0.5,2
"Fudge, Alex",Forward,0,0,00:00,0,0,0.167,0,0,0,0.25,0,0,1,0,0,0,0,0,1,0.25,0.5,1.5,0,0,0.25,0.5,0,0.5,0.25,0,0.5,0
"Washington, Tyty",Guard,3,0,05:36,1,3,0.333,1,2,0.5,0,0,0,,1,2,1,0,0,1.5,1,0,1.5,0,0,0,0.5,0.5,0,0.5,0.5,1,2
"Bediako, Charles",Center,0,0,00:00,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,0
"Davison, JD",Guard,0,0,00:00,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,1,0,1,0.5,0,0,0,1,0,1,0,0,0.5,0
